Age,Percent Male,Percent Female
0,3.2,3.1
1,2.9,2.8
2,2.7,2.7
3,2.6,2.6
4,2.8,2.7
5,2.9,2.9
6,2.9,2.8
7,3,2.9
8,3,2.9
9,3,2.9
10,3,2.9
11,2.9,2.8
12,2.9,2.8
13,2.8,2.7
14,2.7,2.7
15,2.6,2.6
16,2.5,2.5
17,2.4,2.4
18,2.3,2.3
19,2.2,2.2
20,2.1,2.1
21,2.1,2.1
22,2,2
23,1.9,1.9
24,1.9,1.9
25,1.7,1.7
26,1.6,1.6
27,1.6,1.5
28,1.5,1.5
29,1.4,1.4
30,1.4,1.4
31,1.4,1.3
32,1.3,1.3
33,1.2,1.2
34,1.1,1.2
35,1.1,1.1
36,1,1.1
37,1,1
38,0.9,1
39,0.9,0.9
40,0.8,0.9
41,0.8,0.8
42,0.8,0.8
43,0.7,0.8
44,0.7,0.7
45,0.6,0.7
46,0.6,0.7
47,0.6,0.6
48,0.6,0.6
49,0.5,0.6
50,0.5,0.6
51,0.5,0.6
52,0.5,0.5
53,0.5,0.5
54,0.4,0.5
55,0.4,0.5
56,0.4,0.4
57,0.4,0.4
58,0.4,0.4
59,0.4,0.4
60,0.3,0.4
61,0.3,0.3
62,0.3,0.3
63,0.3,0.3
64,0.3,0.3
65,0.3,0.3
66,0.3,0.3
67,0.2,0.2
68,0.2,0.2
69,0.2,0.2
70,0.2,0.2
71,0.2,0.2
72,0.2,0.2
73,0.1,0.2
74,0.1,0.1
75,0.1,0.1
76,0.1,0.1
77,0.1,0.1
78,0.1,0.1
79,0.1,0.1
80,0,0.1
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100+,0,0
